Wall time,Step,Value
1607103981.986446,3600,0.0
1607103987.251032,3618,0.0
1607103987.830899,3620,0.0
1607103988.411383,3622,0.0
1607103990.145486,3628,0.0
1607103998.334469,3656,0.0
1607104002.442887,3670,0.0
1607104018.825858,3726,0.0
1607104020.000987,3730,0.0
1607104023.210485,3741,0.0
1607104032.271621,3772,0.0
1607104034.595755,3780,0.0
1607104038.403192,3793,0.0
1607104039.890878,3798,0.0
1607104044.579755,3814,0.0
1607104046.040605,3819,0.0
1607104046.619953,3821,0.0
1607104049.556018,3831,0.0
1607104050.727548,3835,0.0
1607104059.238241,3864,0.0
1607104062.740751,3876,0.0
1607104077.948403,3928,0.0
1607104081.122069,3939,0.0
1607104086.083421,3956,0.0
1607104094.25799,3984,0.0
1607104102.196035,4010,0.0
1607104105.708954,4022,0.0
1607104108.929845,4033,0.0
1607104109.801251,4036,0.0
1607104126.488655,4093,0.0
1607104127.949195,4098,0.0
1607104128.246394,4099,0.0
1607104131.147218,4109,0.0
1607104152.422452,4182,0.0
1607104155.618782,4193,0.0
1607104155.908305,4194,0.0
1607104156.482489,4196,0.0
1607104157.931863,4201,0.0
1607104158.220211,4202,0.0
1607104165.579683,4227,0.0
1607104167.054022,4232,0.0
1607104167.920102,4235,0.0
1607104170.264217,4243,0.0
1607104176.141349,4263,0.0
1607104177.020049,4266,0.0
1607104177.30949,4267,0.0
1607104181.717499,4282,0.0
1607104188.160924,4304,0.0
1607104191.986796,4317,0.0
1607104192.585842,4319,0.0
1607104196.406552,4332,0.0
1607104207.245165,4369,0.0
1607104214.239977,4393,0.0
1607104216.290793,4400,0.0
1607104218.035798,4406,0.0
1607104225.090021,4430,0.0
1607104225.974257,4433,0.0
1607104243.206469,4492,0.0
1607104248.188196,4509,0.0
1607104248.480581,4510,0.0
1607104254.329577,4530,0.0
1607104255.199254,4533,0.0
1607104257.815194,4542,0.0
1607104268.322894,4578,0.0
1607104269.204984,4581,0.0
1607104273.876637,4597,0.0
1607104282.92463,4628,0.0
1607104291.136723,4656,0.0
1607104293.459694,4664,0.0
1607104294.630491,4668,0.0
1607104296.969448,4676,0.0
1607104300.146592,4687,0.0
1607104307.768114,4713,0.0
1607104309.236108,4718,0.0
1607104313.942267,4734,0.0
1607104318.64822,4750,0.0
1607104320.966717,4758,0.0
1607104323.586501,4767,0.0
1607104326.199362,4776,0.0
1607104329.374941,4787,0.0
1607104329.665837,4788,0.0
1607104333.169321,4800,0.0
1607104333.757384,4802,0.0
1607104344.951668,4840,0.0
1607104348.476559,4852,0.0
1607104354.004729,4871,0.0
1607104360.729251,4894,0.0
1607104366.553583,4914,0.0
1607104380.635489,4962,0.0
1607104383.253079,4971,0.0
1607104384.122427,4974,0.0
1607104384.699777,4976,0.0
1607104399.929203,5027,0.0
1607104400.808117,5030,0.0
1607104406.671627,5050,0.0
1607104407.251735,5052,0.0
1607104407.540352,5053,0.0
1607104409.598829,5060,0.0
1607104414.853422,5078,0.0
1607104423.059275,5106,0.0
1607104428.8588,5126,0.0
1607104431.195323,5134,0.0
1607104440.276668,5165,0.0
1607104445.25143,5182,0.0
1607104450.498594,5200,0.0
1607104452.846908,5208,0.0
1607104461.886866,5239,0.0
1607104469.771378,5266,0.0
1607104476.509819,5289,0.0
1607104484.981335,5318,0.0
1607104488.198548,5329,0.0
1607104492.874056,5345,0.0
1607104496.98078,5359,0.0
1607104503.100306,5380,0.0
1607104514.745296,5420,0.0
1607104521.185405,5442,0.0
1607104522.644601,5447,0.0
1607104533.428344,5484,0.0
1607104536.652995,5495,0.0
1607104538.410166,5501,0.0
1607104542.491277,5515,0.0
1607104543.074946,5517,0.0
1607104552.449953,5549,0.0
1607104559.473443,5573,0.0
1607104562.96554,5585,0.0
1607104563.545437,5587,0.0
1607104565.291413,5593,0.0
1607104568.790216,5605,0.0
